date_raw,time_raw,river_level,raw_water_pump_duty,raw_water_flow,raw_water_ntu,raw_water_color,raw_water_ph,filtered_ntu,clear_well_level,treated_ph,treated_ntu,treated_color,chlorine_residual,alum_feed_rate,alum_dosage,treated_water_pump_duty,treated_water_flow,tank_18ml_level,tank_18ml_flow,remarks,source_file,source_sheet,available_time_raw,available_river_level,available_raw_water_pump_duty,available_raw_water_flow,available_raw_water_ntu,available_raw_water_color,available_raw_water_ph,available_filtered_ntu,available_clear_well_level,available_treated_ph,available_treated_ntu,available_treated_color,available_chlorine_residual,available_alum_feed_rate,available_alum_dosage,available_treated_water_pump_duty,available_treated_water_flow,available_tank_18ml_level,available_tank_18ml_flow,available_remarks,base_date,timestamp,raw_water_pump_count,treated_water_pump_count,is_backwash_event,is_treated_ntu_exceedance,operating_date,year,month,day,hour,weekday,sampling_gap_hours,missing_river_level,missing_raw_water_flow,missing_raw_water_ntu,missing_raw_water_color,missing_raw_water_ph,missing_filtered_ntu,missing_clear_well_level,missing_treated_ph,missing_treated_ntu,missing_treated_color,missing_chlorine_residual,missing_alum_feed_rate,missing_alum_dosage,missing_treated_water_flow,missing_tank_18ml_level,missing_tank_18ml_flow,outlier_river_level,outlier_raw_water_flow,outlier_raw_water_ntu,outlier_raw_water_color,outlier_raw_water_ph,outlier_filtered_ntu,outlier_clear_well_level,outlier_treated_ph,outlier_treated_ntu,outlier_treated_color,outlier_chlorine_residual,outlier_alum_feed_rate,outlier_alum_dosage,outlier_treated_water_flow,outlier_tank_18ml_level,outlier_tank_18ml_flow,outlier_raw_water_pump_count,outlier_treated_water_pump_count
2025-01-01,07:00,6.22,2,45.3,150.0,850.0,7.0,0.04,3.82,7.2,0.12,5.0,1.5,,0.04,"2,4",42.6,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 07:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,7,2,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,09:00,6.34,2,45.2,120.0,830.0,7.0,0.05,3.81,7.2,0.12,5.0,1.5,,0.04,"2,4",42.6,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 09:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,9,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,11:00,6.17,2,44.9,82.0,780.0,7.0,0.05,3.81,7.2,0.12,5.0,1.6,,0.04,"2,4",42.7,,,"B/W No.4,6",JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 11:00:00,1.0,2.0,True,False,2025-01-01,2025,1,1,11,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,13:00,5.99,2,44.9,62.0,720.0,7.0,0.05,3.58,7.2,0.11,5.0,1.6,,0.04,"2,4",42.3,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 13:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,13,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,15:00,5.83,2,44.5,56.0,641.0,7.0,0.05,3.58,7.2,0.11,5.0,1.6,,0.04,"2,4",42.5,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 15:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,15,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,17:00,5.57,1,44.5,75.0,694.0,7.0,0.06,3.71,7.2,0.11,5.0,1.6,,0.04,"2,4",42.4,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 17:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,17,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,19:00,5.45,1,44.2,102.0,1117.0,7.0,0.05,3.66,7.2,0.11,5.0,1.5,,0.04,"2,4",42.6,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 19:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,19,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,21:00,5.36,1,44.2,99.0,948.0,7.0,0.05,3.64,7.2,0.11,5.0,1.6,,0.04,"2,4",42.5,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 21:00:00,1.0,2.0,False,False,2025-01-01,2025,1,1,21,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,23:00,5.47,1,48.9,100.0,950.0,7.0,0.05,3.8,7.2,0.12,5.0,1.6,,0.04,"2,4",42.0,,,B/W filter no. 2&5 (10.00pm),JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-01 23:00:00,1.0,2.0,True,False,2025-01-01,2025,1,1,23,2,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,01:00,5.4,1,48.6,67.0,680.0,7.0,0.05,3.81,7.2,0.12,5.0,1.5,,0.04,"2,4",41.9,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-02 01:00:00,1.0,2.0,False,False,2025-01-01,2025,1,2,1,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,03:00,5.35,1,48.6,67.0,680.0,7.0,0.05,3.81,7.2,0.12,5.0,1.5,,0.04,"2,4",41.9,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-02 03:00:00,1.0,2.0,False,False,2025-01-01,2025,1,2,3,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-01,05:00,5.27,1,48.5,72.0,690.0,7.0,0.05,3.82,7.2,0.12,5.0,1.6,,0.04,"2,4",40.1,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-01,2025-01-02 05:00:00,1.0,2.0,False,False,2025-01-01,2025,1,2,5,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-02,07:00,5.22,1,45.3,72.0,690.0,7.0,0.05,3.83,7.2,0.13,5.0,1.6,,0.05,"2,4",42.3,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-02,2025-01-02 07:00:00,1.0,2.0,False,False,2025-01-02,2025,1,2,7,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-02,09:00,5.2,1,45.5,67.0,650.0,7.0,0.05,3.81,7.2,0.13,5.0,1.6,,0.05,"2,4",42.3,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-02,2025-01-02 09:00:00,1.0,2.0,False,False,2025-01-02,2025,1,2,9,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-02,11:00,5.24,1,45.3,67.0,650.0,7.0,0.05,3.82,7.2,0.13,5.0,1.6,,0.05,"2,4",42.6,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-02,2025-01-02 11:00:00,1.0,2.0,False,False,2025-01-02,2025,1,2,11,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-02,13:00,5.17,1,45.3,67.0,650.0,7.0,0.05,3.83,7.2,0.13,5.0,1.6,,0.05,"1,4",42.6,,,B/W no 1&3,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-02,2025-01-02 13:00:00,1.0,2.0,True,False,2025-01-02,2025,1,2,13,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-02,15:00,5.16,1,45.0,64.0,609.0,7.0,0.05,3.53,7.2,0.12,5.0,1.6,,0.05,"1,4",42.6,,,,JBALB_Jan2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2025-01-02,2025-01-02 15:00:00,1.0,2.0,False,False,2025-01-02,2025,1,2,15,3,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
