变量,差分Spearman系数,差分Spearman绝对值,LASSO标准化系数,LASSO绝对系数,随机森林重要性,Spearman排名,LASSO排名,随机森林排名,综合排名得分,综合排名,是否入选
filtered_ntu,0.6315313426386494,0.6315313426386494,0.1466764118891605,0.1466764118891605,0.6416941190260635,1.0,1.0,1.0,1.0,1,True
raw_water_ntu,0.272504926906848,0.272504926906848,0.004314333154066709,0.004314333154066709,0.11345016945606498,2.0,6.0,2.0,3.3333333333333335,2,True
river_level,0.26086942891662634,0.26086942891662634,0.0,0.0,0.06419248655062157,3.0,7.0,3.0,4.333333333333333,3,True
clear_well_level,-0.16532699932416564,0.16532699932416564,-0.019990998256738245,0.019990998256738245,0.042173080919467386,4.0,3.0,6.0,4.333333333333333,4,True
raw_water_flow,0.07107558917762749,0.07107558917762749,-0.03820177866496034,0.03820177866496034,0.05032317395250287,9.0,2.0,4.0,5.0,5,True
alum_dosage,-0.16132381679390329,0.16132381679390329,-0.018665926695231747,0.018665926695231747,0.014188656513437292,5.0,4.0,8.0,5.666666666666667,6,True
treated_water_flow,0.11899305886242015,0.11899305886242015,-0.0175067593219467,0.0175067593219467,0.04586105567648985,8.0,5.0,5.0,6.0,7,True
raw_water_color,0.13331271014747842,0.13331271014747842,-0.0,0.0,0.02045625173320594,6.0,7.0,7.0,6.666666666666667,8,True
chlorine_residual,-0.11980064029559845,0.11980064029559845,-0.0,0.0,0.007661006172146762,7.0,7.0,9.0,7.666666666666667,9,True
treated_ph,-0.0037826988063652534,0.0037826988063652534,0.0,0.0,0.0,10.0,7.0,10.0,9.0,10,True
raw_water_ph,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,9.333333333333334,11,True
treated_color,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,9.333333333333334,12,True
alum_feed_rate,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,9.333333333333334,13,False
raw_water_pump_count,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,9.333333333333334,14,False
treated_water_pump_count,0.0,0.0,0.0,0.0,0.0,11.0,7.0,10.0,9.333333333333334,15,False
