变量名,均值,标准差,标准化系数,原始尺度系数,影响方向
截距,0.0,1.0,0.3874327859014899,-0.8312126149413908,负向
滤后水浊度/NTU,0.27454999999999996,0.5796252790956125,0.27272078673293404,0.4705122370757525,正向
原水浊度/NTU,92.87166666666667,82.57393776018085,0.04948204686325408,0.0005992453334000443,正向
河水水位,5.98561,1.790582741407368,0.025809164153392072,0.014413834980396662,正向
清水池水位,3.7501783333333334,0.1283985326910795,-0.01735099571971411,-0.13513390967994737,负向
原水流量,49.348499999999994,1.2692771236679035,-0.002393529314141194,-0.001885742104312472,负向
矾投加量,0.055616666666666675,0.005159430416453176,-0.024678989751957384,-4.783277951236103,负向
出厂水流量,45.78876666666667,0.9862375414412836,-0.0301027444913809,-0.030522813446534257,负向
原水色度,455.415,496.0794252015833,-0.041300202320200374,-8.325320547897732e-05,负向
余氯,1.37095,0.3042163662592794,-0.006530886805185102,-0.02146790090714225,负向
处理后水pH,7.299499999999998,0.012237238250520413,0.001009436798518431,0.0824889389136068,正向
原水pH,7.0,1.0,0.0,0.0,正向
处理后水色度,5.0,1.0,0.0,0.0,正向
日周期正弦项,-3.3676765080296416e-17,0.7071067811865476,-0.008656167273374721,-0.012241669156176666,负向
日周期余弦项,-6.439293542825907e-17,0.7071067811865475,0.0004893084124046758,0.0006919865930059402,正向
周周期正弦项,0.0007231395651963091,0.7009318537900251,0.0049030356763216645,0.006995024765689197,正向
周周期余弦项,-0.019326311746565506,0.7129659929378979,0.010020909329458632,0.014055241664705167,正向
年周期正弦项,0.11072887228763761,0.2438981786177413,-0.18179423018749294,-0.7453693636327513,负向
年周期余弦项,0.962667607649281,0.03903680944527291,-0.07256778712721895,-1.8589579465748685,负向
长期时间趋势,370.9583333333333,14.433736682842376,0.1769822260829216,0.012261705334648603,正向
