变量,领先小时,相关系数,有效样本数
raw_water_ntu,0,0.006288707434098971,5090
raw_water_ntu,2,0.007321449176925586,5089
raw_water_ntu,4,0.0072142478496562655,5088
raw_water_ntu,6,0.01174685603138856,5087
raw_water_ntu,8,0.025977652550534986,5086
raw_water_ntu,10,0.03411962018314332,5085
raw_water_ntu,12,0.03892407185302405,5084
raw_water_ntu,14,0.05177669654599702,5083
raw_water_ntu,16,0.05645223827773788,5082
raw_water_ntu,18,0.060080501151068076,5081
raw_water_ntu,20,0.06075041257738719,5080
raw_water_ntu,22,0.0641943389068603,5079
raw_water_ntu,24,0.07149918119565717,5078
raw_water_ntu,26,0.07976754115793158,5077
raw_water_ntu,28,0.09279479290968075,5076
raw_water_ntu,30,0.09991826074375211,5075
raw_water_ntu,32,0.09666405209594865,5074
raw_water_ntu,34,0.0828989593450528,5073
raw_water_ntu,36,0.06788311272566418,5072
filtered_ntu,0,0.6505611000912039,5090
filtered_ntu,2,0.6088854466398197,5089
filtered_ntu,4,0.5324445319828461,5088
filtered_ntu,6,0.4501915187548391,5087
filtered_ntu,8,0.3688495922674853,5086
filtered_ntu,10,0.29286797132532394,5085
filtered_ntu,12,0.21583065293278939,5084
filtered_ntu,14,0.16072562500939083,5083
filtered_ntu,16,0.10829522990052523,5082
filtered_ntu,18,0.05306543252462879,5081
filtered_ntu,20,-0.020753791130416848,5080
filtered_ntu,22,-0.10123766244360428,5079
filtered_ntu,24,-0.15120625101329907,5078
filtered_ntu,26,-0.16299256328221215,5077
filtered_ntu,28,-0.16513716470033757,5076
filtered_ntu,30,-0.14597435929281158,5075
filtered_ntu,32,-0.11268549076501103,5074
filtered_ntu,34,-0.0914741453552964,5073
filtered_ntu,36,-0.08816084150081627,5072
clear_well_level,0,-0.06829925278976055,5090
clear_well_level,2,-0.06654358090399246,5089
clear_well_level,4,-0.056886824581672324,5088
clear_well_level,6,-0.04472326216534375,5087
clear_well_level,8,-0.018174025942825838,5086
clear_well_level,10,-0.0006693266477986129,5085
clear_well_level,12,0.024603539015545302,5084
clear_well_level,14,0.04842059281605722,5083
clear_well_level,16,0.06072143153357453,5082
clear_well_level,18,0.07197847952292503,5081
clear_well_level,20,0.08361365739518864,5080
clear_well_level,22,0.0701649478068691,5079
clear_well_level,24,0.06343156979235802,5078
clear_well_level,26,0.06132071021705432,5077
clear_well_level,28,0.055315712344431674,5076
clear_well_level,30,0.05092800566995181,5075
clear_well_level,32,0.03193128940178265,5074
clear_well_level,34,0.006693919709619455,5073
clear_well_level,36,-0.010213800616030128,5072
alum_dosage,0,0.06051501440714832,3444
alum_dosage,2,0.04587584203014012,3443
alum_dosage,4,0.03193627886577543,3442
alum_dosage,6,0.01854818195822387,3441
alum_dosage,8,0.012392550536757575,3440
alum_dosage,10,0.007093385304316658,3439
alum_dosage,12,0.0031337020218509927,3438
alum_dosage,14,-0.0006680589066744336,3437
alum_dosage,16,0.0014412929491831395,3436
alum_dosage,18,0.0035112081100748334,3435
alum_dosage,20,-0.005936933243205403,3434
alum_dosage,22,-0.013119270487656324,3433
alum_dosage,24,-0.015286994373880258,3432
alum_dosage,26,-0.011425827111821262,3431
alum_dosage,28,-0.008284011672112348,3430
alum_dosage,30,-0.009792003573496699,3429
alum_dosage,32,-0.010944580348829138,3428
alum_dosage,34,-0.009260034808795638,3427
alum_dosage,36,-0.005723285604838318,3426
alum_feed_rate,0,-0.007830708369035058,1094
alum_feed_rate,2,-0.006351635796931943,1093
alum_feed_rate,4,0.0028137858143285253,1092
alum_feed_rate,6,0.0054856776864448354,1091
alum_feed_rate,8,0.010936760719928915,1090
alum_feed_rate,10,0.027129344653070816,1089
alum_feed_rate,12,0.02588925027243337,1088
alum_feed_rate,14,0.02581969473397044,1087
alum_feed_rate,16,0.022181277143151452,1086
alum_feed_rate,18,0.02926557249892364,1085
alum_feed_rate,20,0.015757695912587633,1084
alum_feed_rate,22,0.012810488596238779,1083
alum_feed_rate,24,0.009683109702859386,1082
alum_feed_rate,26,0.011990643840123884,1081
alum_feed_rate,28,0.000664649387211058,1080
alum_feed_rate,30,-0.004441075113510541,1079
alum_feed_rate,32,-0.006917801987901415,1078
alum_feed_rate,34,-0.020006114203607452,1077
alum_feed_rate,36,-0.018198361878618778,1076
raw_water_flow,0,0.0894779449837656,5088
raw_water_flow,2,0.11174591544481721,5087
raw_water_flow,4,0.12076438530724026,5086
raw_water_flow,6,0.1226103802665286,5085
raw_water_flow,8,0.120317538517748,5084
raw_water_flow,10,0.11649322763528303,5083
raw_water_flow,12,0.12712613196377967,5082
raw_water_flow,14,0.12438934625938795,5081
raw_water_flow,16,0.12054908321584132,5080
raw_water_flow,18,0.10066762472921731,5079
raw_water_flow,20,0.07697255430331368,5078
raw_water_flow,22,0.05773614702085711,5077
raw_water_flow,24,0.02796111576958094,5076
raw_water_flow,26,0.004890034526608844,5075
raw_water_flow,28,-0.010050048082376499,5074
raw_water_flow,30,-0.023230234049318163,5073
raw_water_flow,32,-0.033543125745674716,5072
raw_water_flow,34,-0.04571585511792861,5071
raw_water_flow,36,-0.0628466070909638,5070
treated_water_flow,0,0.10467497295202062,5090
treated_water_flow,2,0.1297533486529929,5089
treated_water_flow,4,0.1260160053430353,5088
treated_water_flow,6,0.13882743009132,5087
treated_water_flow,8,0.14130639875989537,5086
treated_water_flow,10,0.15158343443092315,5085
treated_water_flow,12,0.159744970401734,5084
treated_water_flow,14,0.16138282679865418,5083
treated_water_flow,16,0.15729405087426784,5082
treated_water_flow,18,0.13378354603181467,5081
treated_water_flow,20,0.09957289361835402,5080
treated_water_flow,22,0.05481908497169279,5079
treated_water_flow,24,0.027399574908133825,5078
treated_water_flow,26,-0.011073331123494325,5077
treated_water_flow,28,-0.012305502030901245,5076
treated_water_flow,30,-0.031890094902902,5075
treated_water_flow,32,-0.04618952753117801,5074
treated_water_flow,34,-0.06824107294848679,5073
treated_water_flow,36,-0.09461950284632187,5072
