分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
时段,夜间,季节朴素,2,0.8796417029378752,0.25713503649635033,0.002390462916019076,548
时段,夜间,机理专家,2,0.9331393359330301,0.37501329484496376,-0.12264375675540551,548
时段,夜间,LightGBM,2,0.8843630014380104,0.3882718197705619,-0.008347209965409164,548
时段,夜间,GRU,2,0.9033423959070671,0.389819876552172,-0.05209209451305563,548
时段,夜间,MoE,2,0.8619290289224594,0.3407130474298105,0.042162168742859496,548
时段,夜间,季节朴素,4,0.8828619487712875,0.25871323529411766,0.001083679556172723,544
时段,夜间,机理专家,4,0.9365400856802948,0.37723103350079984,-0.12407749211738173,544
时段,夜间,LightGBM,4,0.8919599664943892,0.39002940578763345,-0.019610350311636493,544
时段,夜间,GRU,4,0.9090274946621614,0.3947092811352409,-0.059003873848384014,544
时段,夜间,MoE,4,0.8701194308452236,0.33316197790534174,0.02971069462323339,544
时段,07:00--19:00,季节朴素,6,0.8122158674789697,0.24989743589743588,-0.032854840814522834,780
时段,07:00--19:00,机理专家,6,0.8635392652363978,0.3850319876806614,-0.16750978633991598,780
时段,07:00--19:00,LightGBM,6,0.8359635345278265,0.41287049575219537,-0.09413526793838112,780
时段,07:00--19:00,GRU,6,0.8431716936035986,0.3879524017564761,-0.11308514451564866,780
时段,07:00--19:00,MoE,6,0.8115244228064443,0.34558165399539165,-0.031097037204969258,780
时段,07:00--19:00,季节朴素,8,0.812207580515076,0.2498589743589744,-0.03344249804798527,780
时段,07:00--19:00,机理专家,8,0.8640923849268118,0.38634811299194793,-0.1696948977500783,780
时段,07:00--19:00,LightGBM,8,0.8498579914884552,0.40293981463153045,-0.13147500630587938,780
时段,07:00--19:00,GRU,8,0.8342598442159349,0.3757919733703901,-0.09032236340315425,780
时段,07:00--19:00,MoE,8,0.818056446489842,0.3418544428302691,-0.04838013345991765,780
时段,07:00--19:00,季节朴素,10,0.8142694847619141,0.25074742268041234,-0.034470669711747615,776
时段,07:00--19:00,机理专家,10,0.8661864017550552,0.38750185227537304,-0.17058939497508785,776
时段,07:00--19:00,LightGBM,10,0.8696780014394389,0.4300079537019471,-0.1800457137774747,776
时段,07:00--19:00,GRU,10,0.8432641213680243,0.3915501678735018,-0.10945350787082275,776
时段,07:00--19:00,MoE,10,0.8261566569666395,0.3492478182174496,-0.06489472475357161,776
时段,07:00--19:00,季节朴素,12,0.8163494502175318,0.2517098445595855,-0.03550208714139225,772
时段,07:00--19:00,机理专家,12,0.8682923619290706,0.38863555871310607,-0.1714688117497094,772
时段,07:00--19:00,LightGBM,12,0.8453909852377922,0.4258331974842398,-0.11048831804942227,772
时段,07:00--19:00,GRU,12,0.8372966804675183,0.38311417067684045,-0.08932509382586984,772
时段,07:00--19:00,MoE,12,0.810849494273284,0.345608007703266,-0.021596202126474617,772
时段,07:00--19:00,季节朴素,4,0.8142971005973416,0.25094072164948455,-0.033378269682841966,776
时段,07:00--19:00,机理专家,4,0.8651466060699216,0.3850296726744521,-0.1664683639956297,776
时段,07:00--19:00,LightGBM,4,0.8185299032949414,0.39407970168356415,-0.04414941158343866,776
时段,07:00--19:00,GRU,4,0.8344042137493345,0.3898925151871806,-0.08504193972162621,776
时段,07:00--19:00,MoE,4,0.7944055658023205,0.33302959137740207,0.01649152995474834,776
时段,07:00--19:00,季节朴素,2,0.8163821364692604,0.2518652849740933,-0.03386910887114092,772
时段,07:00--19:00,机理专家,2,0.8667572688905967,0.38504308214121735,-0.16539609278228995,772
时段,07:00--19:00,LightGBM,2,0.8090797196139806,0.3920034539877237,-0.015456218128766963,772
时段,07:00--19:00,GRU,2,0.8355975235540253,0.3964657726216038,-0.08311073723060791,772
时段,07:00--19:00,MoE,2,0.7854460364710094,0.3393703159396513,0.04300145440409997,772
时段,夜间,季节朴素,12,0.8811429828378478,0.26056569343065694,-0.002304117270937489,548
时段,夜间,机理专家,12,0.9338064263026232,0.3773930778278468,-0.1256942742561986,548
时段,夜间,LightGBM,12,0.9027088826832572,0.4167395325178061,-0.051967135653395946,548
时段,夜间,GRU,12,0.893648643242822,0.3667905305565274,-0.030956499917715874,548
时段,夜间,MoE,12,0.8700612804116323,0.3361175569968067,0.022748322703095902,548
时段,夜间,季节朴素,10,0.8835615802967389,0.2602389705882353,-0.0011666510014927134,544
时段,夜间,机理专家,10,0.9368679824348797,0.37833202929073034,-0.1256140943937012,544
时段,夜间,LightGBM,10,0.9355733332471842,0.4232794093301077,-0.1225052925078467,544
时段,夜间,GRU,10,0.9185789498269025,0.38902871959568824,-0.08209578654958483,544
时段,夜间,MoE,10,0.8971039509017987,0.3444178871174946,-0.03209165574417283,544
