模型,预测步长/小时,RMSE,MAE,R2,样本数
机理专家,2,0.8949138629094725,0.3808792007485302,-0.14568249721889392,1320
LightGBM,2,0.841152066023769,0.3904542603884777,-0.012163888998210748,1320
GRU,2,0.86436672749063,0.3937067187988396,-0.068803553367625,1320
MoE,2,0.8180666103896205,0.3399277529522325,0.04263148368895242,1320
机理专家,4,0.895259324649294,0.3818156880453106,-0.14695253528112828,1320
LightGBM,4,0.8495611780471004,0.39241048882948365,-0.03284953034526317,1320
GRU,4,0.8659374148706291,0.3918776066081994,-0.07305195214462423,1320
MoE,4,0.8264495501161201,0.3330841506737651,0.022581770544073065,1320
机理专家,6,0.8955890881170833,0.38267713559038125,-0.14820041270461992,1320
LightGBM,6,0.8689707305510138,0.41314062632516363,-0.08096195364978143,1320
GRU,6,0.8795105142453566,0.3909519645183375,-0.10734304682999452,1320
MoE,6,0.8454167508459053,0.3463310844956925,-0.023155890236725707,1320
机理专家,8,0.8959042805172754,0.383454846001596,-0.14936993829406653,1320
LightGBM,8,0.8818302427311582,0.4013162969345277,-0.11354196598346689,1320
GRU,8,0.8691015727808241,0.3782880474875371,-0.08162740530320844,1320
MoE,8,0.8501952662993886,0.3421415478221395,-0.03508014016670824,1320
机理专家,10,0.8959914824188285,0.38372277371200514,-0.14986766495438375,1320
LightGBM,10,0.8974211894097556,0.4272349778396133,-0.1535402120524727,1320
GRU,10,0.8750885330931165,0.3905110255529483,-0.0968420334362059,1320
MoE,10,0.8561080774050012,0.3472573011580742,-0.04977756833196856,1320
机理专家,12,0.8960723088780292,0.3839682257395287,-0.15033767874415216,1320
LightGBM,12,0.8696453438401226,0.42205794869514457,-0.08348669832322342,1320
GRU,12,0.8611390766385506,0.37633738674810435,-0.06239452993020911,1320
MoE,12,0.8359406798859573,0.3416680327130086,-0.0011292538941731767,1320
