gap_id,gap_days,gap_start,gap_end,gap_start_operating_date,gap_end_operating_date,masked_points,fit_end,training_origin_count,training_label_end,gate_source,model,origin,horizon,target_timestamp,actual,prediction
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,2,2025-08-01 09:00:00,0.72,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,4,2025-08-01 11:00:00,0.7,0.7
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,6,2025-08-01 13:00:00,0.69,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,8,2025-08-01 15:00:00,0.67,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,10,2025-08-01 17:00:00,0.69,0.7
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 07:00:00,12,2025-08-01 19:00:00,0.69,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 09:00:00,2,2025-08-01 11:00:00,0.7,0.7
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 09:00:00,4,2025-08-01 13:00:00,0.69,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 09:00:00,6,2025-08-01 15:00:00,0.67,0.69
1,10,2025-08-01 07:00:00,2025-08-11 05:00:00,2025-08-01,2025-08-10,120,2025-08-01 05:00:00,2514,2025-08-01 05:00:00,prior OOF,季节朴素,2025-08-01 09:00:00,8,2025-08-01 17:00:00,0.69,0.7
