目标日期,图表标题,真实情景
2026-02-01,基准,基准
2026-02-01,变体1,原水+20NTU
2026-02-01,变体2,原水+50NTU
2026-02-01,变体3,原水+100NTU
2026-02-01,变体4,矾量-0.01
2026-02-01,变体5,矾量+0.01
2026-02-01,变体6,原水+50NTU且矾量+0.01
2026-02-10,基准,基准
2026-02-10,变体1,原水+20NTU
2026-02-10,变体2,原水+50NTU
2026-02-10,变体3,原水+100NTU
2026-02-10,变体4,矾量-0.01
2026-02-10,变体5,矾量+0.01
2026-02-10,变体6,原水+50NTU且矾量+0.01
2026-02-20,基准,基准
2026-02-20,变体1,原水+20NTU
2026-02-20,变体2,原水+50NTU
2026-02-20,变体3,原水+100NTU
2026-02-20,变体4,矾量-0.01
2026-02-20,变体5,矾量+0.01
2026-02-20,变体6,原水+50NTU且矾量+0.01
