运行日期,临界频率,临界持续率,M,F,D,L,风险判别分层,聚类置信度,聚类风险等级,基准风险等级,最终风险等级,风险等级
2026-01-01,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.969877014023513,0,0,0,安全
2026-01-02,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9768256594000967,0,0,0,安全
2026-01-03,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.965360471959503,0,0,0,安全
2026-01-04,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9622458959468237,0,0,0,安全
2026-01-05,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9624065319626474,0,0,0,安全
2026-01-06,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9674551672477428,0,0,0,安全
2026-01-07,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9714477932199085,0,0,0,安全
2026-01-08,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.979743404679269,0,0,0,安全
2026-01-09,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9354526870660996,1,0,1,低风险
2026-01-10,0.5,0.5,1.15,0.3333333333333333,8,5.84,NTU>1,0.9456046647669174,2,3,3,高风险
2026-01-11,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.6211168183441232,0,0,0,安全
2026-01-12,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9790455832236262,0,0,0,安全
2026-01-13,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9790609109395375,0,0,0,安全
2026-01-14,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9694326584497182,1,0,1,低风险
2026-01-15,0.3333333333333333,0.3333333333333333,0.3700000000000001,0.16666666666666666,4,1.3000000000000003,NTU>1,0.9803009754702219,2,2,2,中风险
2026-01-16,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8899876551855218,0,0,0,安全
2026-01-17,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9685313926289169,0,0,0,安全
2026-01-18,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9692228300057145,0,0,0,安全
2026-01-19,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9832303906881754,0,0,0,安全
2026-01-20,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9731251956263262,0,0,0,安全
2026-01-21,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9788205221776682,0,0,0,安全
2026-01-22,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9821323554175138,0,0,0,安全
2026-01-23,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9881537943352885,0,0,0,安全
2026-01-24,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9890009107712329,0,0,0,安全
2026-01-25,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9863914315155204,0,0,0,安全
2026-01-26,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9826188378243209,0,0,0,安全
2026-01-27,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9843476749418224,0,0,0,安全
2026-01-28,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9726818851390249,0,0,0,安全
2026-01-29,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9885462927042212,0,0,0,安全
2026-01-30,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9851842217138275,0,0,0,安全
2026-01-31,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9857569314748036,0,0,0,安全
2026-02-01,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.929017250493871,0,0,0,安全
2026-02-02,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9860733853614817,0,0,0,安全
2026-02-03,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9659564449076371,0,0,0,安全
2026-02-04,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.985889466166391,0,0,0,安全
2026-02-05,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9886555443184819,0,0,0,安全
2026-02-06,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.984107831363918,0,0,0,安全
2026-02-07,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9857648656141069,0,0,0,安全
2026-02-08,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9878419577358626,0,0,0,安全
2026-02-09,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9889399576547457,0,0,0,安全
2026-02-10,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.963660438493021,0,0,0,安全
2026-02-11,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9854152128913928,0,0,0,安全
2026-02-12,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9855134009719368,0,0,0,安全
2026-02-13,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9825688844643444,0,0,0,安全
2026-02-14,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.983676570899983,0,0,0,安全
2026-02-15,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9877048009920931,0,0,0,安全
2026-02-16,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9863985662183564,0,0,0,安全
2026-02-17,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9487856730677944,0,0,0,安全
2026-02-18,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9899149072291735,0,0,0,安全
2026-02-19,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9321431539213407,0,0,0,安全
2026-02-20,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8071094917478931,0,0,0,安全
2026-02-21,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.7663931451028565,1,0,1,低风险
2026-02-22,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.6772300334180896,0,0,0,安全
2026-02-23,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.910543085909749,0,0,0,安全
2026-02-24,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9894409066636989,0,0,0,安全
2026-02-25,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9808293466955504,0,0,0,安全
2026-02-26,0.25,0.25,0.03567272114399467,0.08333333333333333,2,0.07134544228798934,NTU>1,0.9496530374181922,2,2,2,中风险
2026-02-27,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9857488580945447,0,0,0,安全
2026-02-28,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9858713216616584,0,0,0,安全
2026-03-01,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9652184983109817,0,0,0,安全
2026-03-02,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9596190287464308,0,0,0,安全
2026-03-03,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9521899507024348,0,0,0,安全
2026-03-04,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.948181471380766,0,0,0,安全
2026-03-05,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9329009758482939,0,0,0,安全
2026-03-06,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.931929860578194,0,0,0,安全
2026-03-07,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9395343312673613,0,0,0,安全
2026-03-08,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.932636448599642,0,0,0,安全
2026-03-09,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9309701566438622,0,0,0,安全
2026-03-10,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9334927661259861,0,0,0,安全
2026-03-11,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9288737905939606,0,0,0,安全
2026-03-12,0.3333333333333333,0.25,0.55,0.25,4,3.22,NTU>1,0.9692418347548749,2,2,2,中风险
2026-03-13,0.08333333333333333,0.08333333333333333,0.09000000000000008,0.08333333333333333,2,0.18000000000000016,NTU>1,0.9499302087421326,2,2,2,中风险
2026-03-14,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9099673737043015,0,0,0,安全
2026-03-15,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8976710695307243,0,0,0,安全
2026-03-16,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.865985830260517,0,0,0,安全
2026-03-17,0.08333333333333333,0.08333333333333333,0.0,0.0,0,0.0,NTU≤1,0.6488520375479668,0,0,0,安全
2026-03-18,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8736487547523761,0,0,0,安全
2026-03-19,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8403539943241818,0,0,0,安全
2026-03-20,0.25,0.25,0.0,0.0,0,0.0,NTU≤1,0.5305581689704465,0,0,0,安全
2026-03-21,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8556445604932887,0,0,0,安全
2026-03-22,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8547198944472367,0,0,0,安全
2026-03-23,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.816919288483465,0,0,0,安全
2026-03-24,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8250936570443201,0,0,0,安全
2026-03-25,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.8246217199587778,0,0,0,安全
2026-03-26,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.808016406361105,0,0,0,安全
2026-03-27,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9467212123966731,1,0,1,低风险
2026-03-28,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9725282226417646,0,0,0,安全
2026-03-29,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.988235282702828,0,0,0,安全
2026-03-30,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9787441733119518,0,0,0,安全
2026-03-31,0.0,0.0,0.0,0.0,0,0.0,NTU≤1,0.9854294513619508,0,0,0,安全
